"time","period","gdp","exp","epg","hpr","gdpus","oil","crd","bci"
1990,1,NA,NA,0.128303169479852,NA,NA,0.0507947856484845,NA,NA
1990.08333333333,1,NA,NA,0.14087857241283,NA,NA,-0.049098305942467,NA,NA
1990.16666666667,1,4.7145865649675,3.09728440788142,0.132082943824072,0.0454399910231079,1.08686252710442,-0.0872134260996265,-4.9930878406633,22.2369383131126
1990.25,1,NA,NA,0.0383473737774566,NA,NA,-0.107203719744164,NA,NA
1990.33333333333,1,NA,NA,0.159386708221008,NA,NA,-0.0082764822262178,NA,NA
1990.41666666667,1,0.856838293888273,-2.02558097884884,0.0988834317362175,0.0330705381676746,0.362251296646932,-0.0880102033148722,-4.6806618273405,20.433335203034
1990.5,1,NA,NA,0.127868028319827,NA,NA,0.114805632512024,NA,NA
1990.58333333333,1,NA,NA,-0.0882979540658305,NA,NA,0.451021385379173,NA,NA
1990.66666666667,1,1.2196817500806,4.36477145853651,-0.291667215375803,0.00173604708976274,0.0665008073680085,0.230249448406997,-7.08939326887334,5.79043983721433
1990.75,1,NA,NA,-0.233703230590166,NA,NA,0.0281087164188362,NA,NA
1990.83333333333,1,NA,NA,-0.288719695319114,NA,NA,-0.102434514056659,NA,NA
1990.91666666667,1,1.44733310294711,13.5701719613855,-0.220308829980814,-0.0776645220589799,-0.914548689537398,-0.174082938974218,-7.50376735696744,3.96157474481001
1991,1,NA,NA,-0.158446716972144,NA,NA,-0.16037970619703,NA,NA
1991.08333333333,1,NA,NA,-0.0295486835156257,NA,NA,-0.209446663775329,NA,NA
1991.16666666667,1,2.70761908625126,1.54155955566813,-0.00511591972321894,-0.0740290146524263,-0.468941632256836,-0.0162372022056838,-4.43461708809125,17.058287272427
1991.25,1,NA,NA,0.0226306428864609,NA,NA,0.0119128926068139,NA,NA
1991.33333333333,1,NA,NA,0.0166569914887749,NA,NA,0.00875800129443771,NA,NA
1991.41666666667,1,0.994991358846065,-7.80171019020122,-0.0527737227336676,-0.0361633018581123,0.776694733046668,-0.0549014352852086,-7.26254187582102,18.4359866095904
1991.5,1,NA,NA,-0.0432692218654167,NA,NA,0.0666592763216929,NA,NA
1991.58333333333,1,NA,NA,-0.0789322987504767,NA,NA,0.0118742543209578,NA,NA
1991.66666666667,1,1.84372906422983,2.8082752171037,-0.126027649538737,-0.0540244632643329,0.504024267269543,0.0311531907664597,-8.03871923410497,11.9703606132678
1991.75,1,NA,NA,-0.100213431302224,NA,NA,0.0766233558293397,NA,NA
1991.83333333333,1,NA,NA,-0.0840461222123427,NA,NA,-0.0599193292337536,NA,NA
1991.91666666667,1,0.728665207681622,-3.98342694327107,-0.0688750864027845,-0.0826402215314156,0.347892821056917,-0.149695138385581,-8.34874172678923,5.23403933338144
1992,1,NA,NA,-0.0469166761034947,NA,NA,-0.00620112557493613,NA,NA
1992.08333333333,1,NA,NA,-0.0928375840721266,NA,NA,0.00482725067066681,NA,NA
1992.16666666667,1,2.14276347551632,3.77446715463261,-0.130925820764236,-0.0825984840735934,1.18994366222367,-0.0189649370612506,-9.47775162737719,11.8710727407287
1992.25,1,NA,NA,-0.0977786567898521,NA,NA,0.0692639982432766,NA,NA
1992.33333333333,1,NA,NA,-0.063042153749492,NA,NA,0.0439693840401678,NA,NA
1992.41666666667,1,0.938921372964252,-0.0664061732202903,-0.0876667788388161,-0.0937578976809161,1.07851639400742,0.0645820937154875,-7.55560607068346,19.4393562787889
1992.5,1,NA,NA,-0.149657808445011,NA,NA,-0.0366643997966174,NA,NA
1992.58333333333,1,NA,NA,-0.229798825991023,NA,NA,-0.0305759777887038,NA,NA
1992.66666666667,1,3.20681564183829,5.9784722679562,-0.277668274939765,-0.105534440465954,0.983420460124229,0.0265791229810357,-8.01198091666504,9.98628694273922
1992.75,1,NA,NA,-0.249849118958578,NA,NA,-0.0119427816026838,NA,NA
1992.83333333333,1,NA,NA,-0.179266159627811,NA,NA,-0.0612637181870723,NA,NA
1992.91666666667,1,2.56334682906907,2.79198701957988,-0.1520059099436,-0.128516806197789,1.03776127019124,-0.0542029533581805,-9.22376860450699,17.8942771035616
1993,1,NA,NA,-0.144976883155183,NA,NA,-0.0436223125598394,NA,NA
1993.08333333333,1,NA,NA,-0.122257058480002,NA,NA,0.0536807043907686,NA,NA
1993.16666666667,1,1.97798362271104,0.749196993066015,-0.132991972983354,-0.126616061674766,0.167260349548748,0.0138071908729094,-9.04945697453533,13.1169038824201
1993.25,1,NA,NA,-0.0855776358282113,NA,NA,-0.00709468353564313,NA,NA
1993.33333333333,1,NA,NA,-0.0350562084135503,NA,NA,-0.0173069052990193,NA,NA
1993.41666666667,1,4.09349516464506,7.8823768163204,-0.0708257796261973,-0.0702899686428757,0.580730118683626,-0.046121415864129,-9.57328428975116,13.4431856768763
1993.5,1,NA,NA,-0.0755517236393291,NA,NA,-0.0603374706089868,NA,NA
1993.58333333333,1,NA,NA,0.0472127860877592,NA,NA,0.00151084486663677,NA,NA
1993.66666666667,1,2.15540493161352,2.66999698776784,0.0624435224859041,-0.0294259186472912,0.476179197899285,-0.040861256727301,-10.6139051998107,8.91422846033613
1993.75,1,NA,NA,0.138299054132676,NA,NA,0.0356768570584085,NA,NA
1993.83333333333,1,NA,NA,0.0973992241309197,NA,NA,-0.0886025337736098,NA,NA
1993.91666666667,1,3.95271539856203,-1.85473228457855,0.281671616987351,-0.023945883106697,1.35094680855907,-0.122408127703645,-11.0357099549617,26.5716335124366
1994,1,NA,NA,0.218872715721295,NA,NA,0.0597308195694679,NA,NA
